timestamp,heart_rate,spo2,steps
2025-09-18T12:20:34.044062,70.6,98.0,1
2025-09-18T12:20:36.044062,70.9,98.1,1
2025-09-18T12:20:38.044062,70.2,98.1,1
2025-09-18T12:20:40.044062,67.1,98.2,2
2025-09-18T12:20:42.044062,66.0,98.0,3
2025-09-18T12:20:44.044062,69.1,98.0,4
2025-09-18T12:20:46.044062,68.4,98.0,4
2025-09-18T12:20:48.044062,68.3,97.8,5
2025-09-18T12:20:50.044062,66.8,98.0,5
2025-09-18T12:20:52.044062,67.1,98.1,5
2025-09-18T12:20:54.044062,65.9,97.9,6
2025-09-18T12:20:56.044062,66.3,97.6,7
2025-09-18T12:20:58.044062,67.0,97.8,8
2025-09-18T12:21:00.044062,66.0,97.7,9
2025-09-18T12:21:02.044062,65.8,97.7,10
2025-09-18T12:21:04.044062,65.7,97.8,11
2025-09-18T12:21:06.044062,67.5,97.9,11
2025-09-18T12:21:08.044062,67.0,97.9,11
2025-09-18T12:21:10.044062,65.3,98.0,12
2025-09-18T12:21:12.044062,67.1,97.9,12
2025-09-18T12:21:14.044062,66.1,97.9,13
2025-09-18T12:21:16.044062,66.4,97.9,14
2025-09-18T12:21:18.044062,65.6,97.9,14
2025-09-18T12:21:20.044062,65.9,97.9,14
2025-09-18T12:21:22.044062,64.2,97.8,14
2025-09-18T12:21:24.044062,64.0,97.9,15
2025-09-18T12:21:26.044062,64.0,97.6,15
2025-09-18T12:21:28.044062,64.1,97.6,15
2025-09-18T12:21:30.044062,64.7,97.5,15
2025-09-18T12:21:32.044062,65.1,97.5,16
2025-09-18T12:21:34.044062,66.1,97.4,17
2025-09-18T12:21:36.044062,65.0,97.4,17
2025-09-18T12:21:38.044062,67.0,97.5,17
2025-09-18T12:21:40.044062,67.8,97.4,18
2025-09-18T12:21:42.044062,66.9,97.3,19
2025-09-18T12:21:44.044062,68.1,97.4,19
2025-09-18T12:21:46.044062,67.8,97.4,21
2025-09-18T12:21:48.044062,69.3,97.2,23
2025-09-18T12:21:50.044062,69.6,97.4,23
2025-09-18T12:21:52.044062,69.8,97.2,24
2025-09-18T12:21:54.044062,68.6,97.3,25
2025-09-18T12:21:56.044062,69.1,97.4,25
2025-09-18T12:21:58.044062,67.5,97.3,26
2025-09-18T12:22:00.044062,67.8,97.4,26
2025-09-18T12:22:02.044062,67.5,97.8,27
2025-09-18T12:22:04.044062,67.6,97.8,30
2025-09-18T12:22:06.044062,68.1,97.8,31
2025-09-18T12:22:08.044062,69.4,97.8,31
2025-09-18T12:22:10.044062,70.2,97.8,32
2025-09-18T12:22:12.044062,70.3,97.6,33
2025-09-18T12:22:14.044062,69.1,97.8,36
2025-09-18T12:22:16.044062,69.8,98.4,37
2025-09-18T12:22:18.044062,70.0,98.4,37
2025-09-18T12:22:20.044062,70.2,98.3,37
2025-09-18T12:22:22.044062,68.1,98.3,37
